,make,fuel-type,body-style,drive-wheels,wheel-base,engine-type,engine-size,fuel-system,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price
0,alfa-romero,gas,convertible,rwd,88.6,dohc,130,mpfi,9.0,111.0,5000,21,27,13495
1,alfa-romero,gas,convertible,rwd,88.6,dohc,130,mpfi,9.0,111.0,5000,21,27,16500
2,alfa-romero,gas,hatchback,rwd,94.5,ohcv,152,mpfi,9.0,154.0,5000,19,26,16500
3,audi,gas,sedan,fwd,99.8,ohc,109,mpfi,10.0,102.0,5500,24,30,13950
4,audi,gas,sedan,4wd,99.4,ohc,136,mpfi,8.0,115.0,5500,18,22,17450
5,audi,gas,sedan,fwd,99.8,ohc,136,mpfi,8.5,110.0,5500,19,25,15250
6,audi,gas,sedan,fwd,105.8,ohc,136,mpfi,8.5,110.0,5500,19,25,17710
7,audi,gas,wagon,fwd,105.8,ohc,136,mpfi,8.5,110.0,5500,19,25,18920
8,audi,gas,sedan,fwd,105.8,ohc,131,mpfi,8.3,140.0,5500,17,20,23875
9,bmw,gas,sedan,rwd,101.2,ohc,108,mpfi,8.8,101.0,5800,23,29,16430
10,bmw,gas,sedan,rwd,101.2,ohc,108,mpfi,8.8,101.0,5800,23,29,16925
11,bmw,gas,sedan,rwd,101.2,ohc,164,mpfi,9.0,121.0,4250,21,28,20970
12,bmw,gas,sedan,rwd,101.2,ohc,164,mpfi,9.0,121.0,4250,21,28,21105
13,bmw,gas,sedan,rwd,103.5,ohc,164,mpfi,9.0,121.0,4250,20,25,24565
14,bmw,gas,sedan,rwd,103.5,ohc,209,mpfi,8.0,182.0,5400,16,22,30760
15,bmw,gas,sedan,rwd,103.5,ohc,209,mpfi,8.0,182.0,5400,16,22,41315
16,bmw,gas,sedan,rwd,110.0,ohc,209,mpfi,8.0,182.0,5400,15,20,36880
17,chevrolet,gas,hatchback,fwd,88.4,l,61,2bbl,9.5,48.0,5100,47,53,5151
18,chevrolet,gas,hatchback,fwd,94.5,ohc,90,2bbl,9.6,70.0,5400,38,43,6295
19,chevrolet,gas,sedan,fwd,94.5,ohc,90,2bbl,9.6,70.0,5400,38,43,6575
20,dodge,gas,hatchback,fwd,93.7,ohc,90,2bbl,9.41,68.0,5500,37,41,5572
21,dodge,gas,hatchback,fwd,93.7,ohc,90,2bbl,9.4,68.0,5500,31,38,6377
22,dodge,gas,hatchback,fwd,93.7,ohc,98,mpfi,7.6,102.0,5500,24,30,7957
23,dodge,gas,hatchback,fwd,93.7,ohc,90,2bbl,9.4,68.0,5500,31,38,6229
24,dodge,gas,sedan,fwd,93.7,ohc,90,2bbl,9.4,68.0,5500,31,38,6692
25,dodge,gas,sedan,fwd,93.7,ohc,90,2bbl,9.4,68.0,5500,31,38,7609
26,dodge,gas,sedan,fwd,93.7,ohc,98,mpfi,7.6,102.0,5500,24,30,8558
